Word,E,P,A
CONTINGENT,4.85,3.9,5.08
CONTINUANCE,5.26,3.57,5.13
CONTINUATION,5.23,3.84,6.38
CONTINUE,5.61,2.9,6.17
CONTINUITY,5.71,2.32,6.44
CONTINUOUS,5.33,3.27,5.77
CONTINUUM,5.15,3.95,5.36
CONTRABAND,3.58,5.81,4.61
CONTRACEPTION,6.1,4.91,5.25
CONTRACT,5.1,3.95,6.84
CONTRACTION,4.33,5.9,3.95
CONTRACTOR,4.7,4.26,5.48
CONTRADICT,3.58,4.25,4.83
CONTRADICTION,3.79,5.0,5.21
CONTRADICTORY,3.75,4.27,5.3
CONTRAPTION,5.11,4.32,5.67
CONTRARY,4.5,3.71,5.36
CONTRAST,5.3,4.23,6.3
CONTRIBUTE,6.15,3.58,6.96
CONTRIBUTION,6.58,3.18,7.0
CONTRITION,4.4,3.88,4.93
CONTROL,4.43,4.76,5.47
CONTROLLER,4.43,4.08,6.16
CONTROLLING,3.45,5.69,5.29
CONTROVERSIAL,4.73,6.26,4.71
CONTROVERSY,3.21,6.09,3.75
CONTUSION,3.9,5.95,4.35
CONUNDRUM,3.95,3.27,3.96
CONVENE,5.0,4.05,6.0
CONVENIENCE,7.14,3.5,5.5
CONVENIENT,7.15,3.48,5.08
CONVENT,5.05,3.86,4.25
CONVENTION,5.0,3.67,4.65
CONVENTIONAL,5.47,3.77,5.68
CONVERGE,4.53,4.24,5.61
CONVERSATION,6.72,2.65,6.28
CONVERSATIONAL,6.32,3.38,5.43
CONVERSATIONALIST,5.94,3.9,5.88
CONVERSE,5.37,4.25,6.05
CONVERSION,5.59,4.79,5.29
CONVERT,5.11,3.65,5.42
CONVERTIBLE,6.79,4.72,6.21
CONVEY,5.1,3.83,5.1
CONVICT,2.28,4.95,4.08
CONVICTION,3.89,4.67,5.62
CONVINCE,5.45,4.39,6.44
CONVINCING,5.6,4.21,6.82
CONVOY,5.4,3.87,5.54
COO,5.9,4.17,5.07
COOK,7.12,4.33,6.25
COOKBOOK,6.45,3.45,5.95
COOKER,5.52,3.0,5.67
COOKIE,7.32,4.7,6.1
COOKING,6.77,4.19,7.27
COOKOUT,7.11,4.86,6.3
COOL,6.82,3.43,6.44
COOLANT,5.21,3.45,5.9
COOLER,6.1,3.83,5.92
COON,4.32,3.86,4.26
COOPERATE,6.39,3.83,6.18
COOPERATION,6.62,3.32,6.83
COOPERATIVE,6.62,3.43,6.72
COORDINATE,5.5,4.59,6.95
COORDINATION,6.11,3.45,6.52
COORDINATOR,5.43,4.41,5.75
COP,4.5,4.9,2.83
COPACETIC,4.56,3.45,6.5
COPE,5.1,4.1,5.95
COPIER,4.95,3.17,6.16
COPILOT,5.79,4.1,4.45
COPPER,5.6,4.14,6.19
COPTER,4.86,4.7,4.05
COPY,5.22,3.15,4.67
COPYCAT,3.33,4.62,4.67
COPYRIGHT,4.43,2.96,5.5
CORAL,6.42,3.18,5.5
CORAL_SNAKE,4.0,6.28,4.0
CORD,5.38,4.2,5.47
CORDIAL,6.39,3.1,5.4
CORDLESS,6.45,4.05,5.9
CORDON,5.22,2.55,4.48
CORDUROY,5.79,3.45,4.82
CORE,6.19,3.24,5.89
CORK,4.93,3.92,4.7
CORKSCREW,5.26,3.76,4.96
CORN,5.95,3.43,5.65
CORNBALL,5.55,3.17,5.1
CORNBREAD,6.47,3.5,6.08
CORNED,4.61,3.59,4.54
CORNER,4.83,3.38,4.88
CORNERSTONE,5.9,3.33,6.32
CORNFIELD,5.05,3.73,5.32
CORNFLAKES,6.37,3.3,5.7
CORNY,5.0,3.0,4.94
CORONARY,2.62,4.67,4.4
CORONATION,4.6,4.5,5.13
CORONER,3.0,3.61,3.28
CORPORAL,4.63,3.5,4.9
CORPORATE,4.9,4.74,5.05
CORPORATION,3.82,4.73,4.47
CORPOREAL,4.0,3.5,4.42
CORPS,4.24,3.52,4.69
CORPSE,2.45,4.89,3.23
CORPSMAN,4.05,3.91,4.7
CORRAL,4.5,3.71,5.35
CORRECT,6.94,3.48,7.06
CORRECTION,4.05,4.37,6.05
CORRECTIONAL,4.09,4.86,5.05
CORRECTIVE,4.95,4.05,5.16
CORRELATION,5.09,3.23,5.25
CORRESPOND,5.75,3.48,6.76
CORRESPONDENCE,6.59,5.05,5.71
CORRESPONDENT,5.32,3.55,5.29
CORRESPONDING,5.1,4.52,5.95
CORRIDOR,4.76,3.53,5.35
CORROBORATE,5.5,3.88,5.41
CORRUPT,3.0,5.98,3.7
CORRUPTION,3.0,4.86,3.63
CORSAGE,6.3,3.4,5.55
CORSET,5.81,5.75,4.71
CORTEX,5.2,3.67,5.5
CORTISONE,4.42,3.39,5.06
COSMETIC,5.09,4.87,5.74
COSMIC,7.11,5.39,4.84
COSMOPOLITAN,5.8,3.86,5.65
COSMOS,6.5,4.27,4.14
COST,4.11,4.9,3.67
COSTLY,3.0,4.08,4.68
COSTUME,6.05,4.78,6.36
COT,5.37,2.95,5.07
COTTAGE,6.63,2.95,6.08
COTTON,6.05,2.48,6.24
COUCH,6.52,3.4,6.19
COUGAR,5.67,5.7,4.24
COUGH,3.57,4.5,4.25
COUNCIL,5.0,3.86,5.21
COUNCILMAN,4.19,3.26,5.12
COUNSEL,5.48,2.86,5.19
COUNSELING,5.9,3.4,4.2
COUNSELOR,5.71,3.45,4.91
COUNT,5.89,2.3,5.17
COUNTDOWN,5.64,6.47,4.76
COUNTENANCE,4.77,3.35,5.83
COUNTER,5.22,2.47,5.16
COUNTERACT,4.73,4.27,5.1
COUNTERATTACK,4.16,5.83,5.16
COUNTERFEIT,3.16,4.18,3.0
COUNTERPART,5.38,3.4,5.57
COUNTERPOINT,5.24,4.4,5.53
COUNTESS,5.85,3.55,6.41
COUNTLESS,4.8,4.22,4.14
COUNTRY,6.14,3.71,6.35
COUNTRYSIDE,6.94,2.7,5.8
COUNTY,5.18,3.4,7.0
COUP,4.74,4.64,5.0
COUPE,5.05,3.74,5.32
COUPLE,7.11,4.95,5.61
COUPLING,5.4,4.61,5.68
COUPON,6.3,4.22,5.54
COURAGE,7.67,5.0,7.27
COURAGEOUS,8.05,5.5,7.38
COURIER,5.5,3.67,5.79
COURT,3.52,4.43,3.94
COURTEOUS,7.05,3.95,7.26
COURTESY,6.79,4.3,5.96
COURTHOUSE,4.61,4.2,3.5
COURTROOM,2.84,4.67,3.45
COURTSHIP,6.0,5.38,5.37
COURTSIDE,6.0,4.24,6.0
COURTYARD,5.53,3.43,5.05
COUSIN,6.11,2.6,5.28
COVE,5.67,3.17,6.06
COVEN,5.43,4.8,4.78
COVENANT,5.21,4.0,5.35
COVER,5.59,3.76,5.78
COVERAGE,5.77,3.19,5.96
COVERT,3.79,4.32,4.96
COVET,4.48,4.04,5.0
COVETED,5.95,4.88,4.39
COW,5.42,2.95,5.24
COWARD,2.42,4.09,4.09
COWARDICE,3.05,4.25,3.64
COWARDLY,2.85,5.14,3.85
COWBOY,5.43,4.43,5.67
COWGIRL,6.11,5.3,5.63
COWHAND,4.65,3.33,5.44
COWORKER,5.0,3.57,4.55
COY,5.5,3.72,5.5
COYOTE,4.05,5.55,4.38
COZY,7.28,3.56,6.69
CRAB,5.81,4.13,4.52
CRABBY,3.16,6.0,5.09
CRACK,2.68,5.25,5.42
CRACKER,5.11,3.64,5.26
CRACKERJACK,7.21,5.13,4.94
CRACKLE,5.53,5.27,4.86
CRACKPOT,3.38,5.1,4.05
CRADLE,6.1,3.67,4.86
CRAFT,6.38,4.04,6.36
CRAFTSMAN,6.71,4.11,6.23
CRAFTSMANSHIP,6.89,4.52,6.3
CRAFTY,5.73,5.04,6.29
CRAM,4.68,4.19,5.18
CRAMP,2.91,4.73,4.5
CRANBERRY,6.36,3.64,5.74
CRANBERRY_JUICE,6.0,4.25,5.86
CRANIAL,5.37,4.62,4.83
CRANIUM,5.81,3.55,5.15
CRANK,3.85,4.67,5.17
CRANKY,3.0,4.71,4.36
CRANNY,4.68,3.46,4.61
CRAP,3.44,4.62,4.11
CRAPPY,2.35,5.26,3.92
CRASH,2.9,4.55,3.3
CRASS,3.73,4.73,5.11
CRATE,4.8,2.72,5.45
CRATER,5.15,4.84,4.79
CRAVE,5.41,5.04,5.0
CRAWL,3.95,3.62,4.95
CRAYON,5.76,2.91,5.93
CRAZE,5.33,6.45,5.22
CRAZED,3.5,6.25,4.06
CRAZINESS,3.82,6.83,4.32
CRAZY,5.14,5.9,4.19
CREAK,4.68,4.4,4.61
CREAKING,4.55,4.77,5.38
CREAM,6.56,3.8,6.11
CREAMED,6.1,4.75,5.56
CREAMER,5.47,2.81,6.09
CREAMY,6.48,3.12,6.06
CREASE,4.86,4.0,5.63
CREATE,7.86,6.26,7.0
CREATION,6.85,5.35,6.38
CREATIVE,7.06,4.86,6.78
CREATIVITY,7.73,5.3,6.79
CREATOR,6.45,4.89,6.12
CREATURE,6.06,4.77,4.82
CREDENCE,5.79,4.64,5.26
CREDIBILITY,7.0,4.05,5.92
CREDIBLE,6.95,3.95,6.05
CREDIT,5.0,4.38,5.0
CREDIT_CARD,5.55,4.52,5.15
CREED,5.25,3.67,4.45
CREEK,6.32,2.67,5.0
CREEP,2.95,4.78,4.63
CREEPER,3.61,5.68,3.86
CREEPY,2.52,5.54,4.33
CREMATION,4.0,5.29,4.05
CREPE,6.48,3.62,5.55
CRESCENDO,5.58,4.91,5.8
CRESCENT,5.9,3.32,5.81
CREST,4.9,3.39,6.06
CRETIN,4.47,3.71,4.95
CREVICE,4.67,4.58,4.62
CREW,5.83,3.38,5.0
CREWMAN,5.14,3.2,4.91
CRIB,6.43,4.26,4.77
CRICKET,5.71,3.22,4.88
CRIME,1.95,5.68,3.31
CRIMINAL,2.11,4.49,4.09
CRIMP,4.95,3.41,4.37
CRIMSON,5.67,4.52,5.04
CRINGE,3.24,5.85,3.57
CRIPPLE,2.47,4.05,2.61
CRIPPLING,2.71,4.88,2.74
CRISIS,2.05,6.29,3.77
CRISP,5.23,3.95,6.14
CRISPY,6.18,5.0,6.08
CRITIC,4.1,4.25,4.86
CRITICAL,3.95,4.95,4.22
CRITICISM,3.84,5.95,4.17
CRITICIZE,2.41,5.27,4.7
CRITIQUE,4.8,3.85,6.0
CRITTER,5.4,4.05,4.43
CROAK,3.29,4.52,3.58
CROC,4.0,5.06,4.79
CROCK,5.1,4.32,5.58
CROCODILE,3.15,6.48,3.47
CROISSANT,7.0,4.5,6.04
CROOK,2.86,4.62,3.82
CROOKED,3.17,4.18,3.18
CROP,5.88,3.19,5.09
CROQUET,5.63,3.5,5.64
CROSS,5.67,3.05,4.0
CROSS_COUNTRY,5.8,4.65,5.96
CROSSBOW,4.91,5.38,5.96
CROSSFIRE,4.16,5.9,4.65
CROSSOVER,5.44,3.95,5.7
CROSSWALK,5.25,3.52,5.88
CROSSWORD,6.58,3.74,5.84
CROTCH,4.62,4.96,5.0
CROUCH,4.79,4.05,4.87
CROW,4.32,3.55,5.4
CROWBAR,4.81,3.61,5.45
CROWD,4.48,5.15,5.21
CROWDED,3.2,3.95,3.45
CROWN,6.0,4.52,5.62
CRUCIAL,5.16,4.14,4.91
CRUCIFIX,4.1,4.19,4.8
CRUCIFIXION,2.82,5.62,3.83
CRUCIFY,2.26,5.6,3.11
CRUD,4.05,3.89,4.1
CRUDE,3.24,4.51,3.35
CRUEL,2.73,5.07,4.78
CRUELTY,2.37,5.9,2.64
CRUISE,6.47,4.32,5.68
CRUISE_SHIP,7.05,4.42,4.65
CRUISER,5.32,2.9,5.7
CRUMB,5.14,2.95,4.62
CRUMBLE,4.25,4.0,4.14
CRUMMY,3.9,4.26,4.38
CRUNCH,4.79,4.17,5.0
CRUNCHY,5.86,4.45,5.52
CRUSADE,4.24,6.2,4.71
CRUSADER,5.63,5.09,4.63
CRUSH,4.72,5.6,3.96
CRUSHED,2.87,5.07,4.24
CRUSHER,4.8,4.65,4.29
CRUST,5.76,3.62,5.96
CRUSTY,4.29,3.17,4.75
CRUTCH,3.64,3.67,4.08
CRY,3.22,5.45,2.56
CRYBABY,2.95,5.05,3.21
CRYPT,2.67,4.13,4.0
CRYPTIC,3.86,5.53,4.33
CRYSTAL,6.75,4.1,6.72
CUB,6.71,3.95,4.24
CUBBY,5.0,3.71,5.65
CUBE,4.75,3.09,5.53
CUBIC,4.7,3.0,5.6
CUBICLE,3.8,3.05,3.86
CUCKOLD,3.6,3.78,4.18
CUCKOO,4.79,4.57,4.53
CUCUMBER,6.47,3.17,5.86
CUDDLE,7.6,3.83,6.65
CUE,5.84,4.35,4.62
CUFF,4.81,3.56,4.16
CUISINE,6.88,4.51,5.75
CULINARY,6.33,4.5,5.85
CULMINATION,5.85,3.43,5.2
CULPRIT,2.9,5.54,3.82
CULT,2.77,5.48,3.61
CULTIVATE,5.73,3.81,6.23
CULTURAL,6.9,4.55,5.41
CULTURE,6.28,4.06,5.71
CULTURED,6.15,3.33,6.4
CUNNING,5.05,4.9,6.58
CUNT,3.7,6.1,3.24
CUP,5.94,2.6,5.28
CUPBOARD,4.81,3.52,5.65
CUPCAKE,6.9,4.22,5.85
CURATOR,6.42,2.73,5.11
CURB,4.65,3.59,5.47
CURD,5.19,4.37,4.72
CURE,7.81,4.5,5.45
CURFEW,4.14,4.0,5.0
CURIOSITY,6.37,5.9,6.21
CURIOUS,6.58,5.74,6.88
CURL,5.72,3.05,5.4
CURLING,5.0,4.43,5.47
CURRENCY,5.9,4.05,5.3
CURRENT,5.53,3.25,5.9
CURRICULUM,5.3,3.56,4.08
CURRY,5.4,3.17,5.5
CURSE,2.9,5.2,5.15
CURT,4.05,3.2,4.32
CURTAIN,5.36,3.62,6.29
CURTAINS,5.44,2.63,5.79
CURTSY,6.35,4.6,5.76
CURVE,5.81,4.52,5.14
CURVED,5.24,3.91,5.7
CUSHION,5.9,2.76,6.44
CUSHY,5.95,4.23,5.81
CUSS,4.0,6.25,5.35
CUSTARD,5.45,3.5,5.96
CUSTODIAL,5.05,3.42,4.9
CUSTODIAN,3.79,2.67,4.45
CUSTODY,4.74,4.14,5.54
CUSTOM,5.29,4.0,5.56
CUSTOMARY,5.0,3.44,4.94
CUSTOMER,5.86,3.4,6.16
CUSTOMIZED,6.91,4.87,6.58
CUT,3.9,5.07,4.55
CUTE,7.56,5.05,6.02
CUTIE,7.43,4.62,5.44
CUTLASS,5.0,4.55,5.26
CUTOFF,3.14,3.92,5.0
CUTTER,4.05,4.35,5.88
CUTTHROAT,3.14,5.65,4.27
CUTTING_BOARD,5.35,3.83,6.25
CYANIDE,2.7,5.72,4.92
CYBERSPACE,5.73,5.04,5.37
CYCLE,5.64,4.42,5.81
CYCLONE,3.47,5.09,3.18
CYLINDER,5.45,3.14,4.57
CYNIC,3.45,4.68,4.81
CYNICAL,3.3,4.78,4.95
CYNICISM,3.41,5.0,4.79
CYST,2.5,4.28,3.17
CYSTIC,3.19,3.55,4.26
CZAR,4.53,4.79,4.36
DAB,5.0,3.11,5.62
DABBLE,5.48,3.05,5.41
DAD,7.14,4.05,6.12
DADDY,7.27,4.24,5.78
DAFT,4.5,2.75,4.82
DAGGER,4.38,5.79,4.83
DAILY,5.74,4.2,5.38
DAINTY,6.42,2.7,5.2
DAIQUIRI,5.68,4.95,5.29
DAIRY,6.09,3.9,6.39
DAISY,7.48,3.95,5.37
DAM,4.58,3.67,5.26
DAMAGE,2.98,4.86,3.46
DAME,6.1,4.22,5.54
DAMN,4.32,5.1,4.39
DAMNATION,3.14,5.77,3.55
DAMP,4.05,2.8,3.95
DAMPER,4.3,3.59,4.55
DAMSEL,5.74,4.44,4.29
DANCE,7.27,5.48,6.28
DANCER,6.64,4.52,5.78
DANDRUFF,3.05,4.41,3.57
DANDY,6.55,4.0,6.12
DANGER,2.66,5.84,3.64
DANGEROUS,2.33,6.81,2.56
DANGLE,4.76,4.25,3.95
DANK,3.95,3.0,3.77
DARE,4.67,5.6,4.17
DAREDEVIL,4.89,6.33,5.28
DARESAY,5.35,3.76,4.88
DARING,6.0,6.14,6.04
DARK,5.08,4.09,4.61
DARKEN,4.45,3.86,5.76
DARKENED,3.37,3.77,3.92
DARKNESS,4.71,4.08,4.82
DARKROOM,4.9,3.61,5.76
DARLING,7.32,3.95,5.44
DARN,3.81,3.17,5.56
DART,4.76,3.87,5.61
DASH,5.05,4.29,5.86
DASHBOARD,5.25,3.15,5.32
DASHING,6.62,4.28,6.05
DATABASE,4.75,3.33,6.12
DATE,7.18,4.33,5.11
DAUGHTER,6.73,5.0,5.06
DAWDLE,4.77,3.29,4.86
DAWN,6.74,3.1,4.98
DAY,6.36,3.62,5.59
DAYBREAK,7.16,3.95,5.3
DAYCARE,5.35,3.39,4.92
DAYDREAM,7.15,3.2,6.77
DAYLIGHT,6.95,4.05,5.88
DAYTIME,7.58,4.0,5.58
DAZE,4.14,4.5,4.58
DAZZLE,6.46,4.96,5.88
DAZZLING,6.5,6.36,6.16
DEACON,5.09,3.87,5.11
DEACTIVATE,3.95,4.58,6.19
DEAD,2.02,3.91,2.66
DEADBEAT,2.81,4.32,3.89
DEADLINE,3.19,5.74,4.53
DEADLY,1.9,5.04,3.73
DEAF,3.19,4.27,2.86
DEAFENING,3.71,4.56,3.63
DEAL,6.14,3.9,6.12
DEALER,4.18,5.42,5.0
DEALERSHIP,5.15,2.9,4.41
DEATH,1.89,5.53,3.42
DEATHBED,1.79,4.05,2.96
DEATHLY,1.95,6.05,2.95
DEBACLE,4.2,4.78,4.06
DEBATABLE,5.62,5.8,4.86
DEBATE,4.95,4.86,5.96
DEBAUCHERY,4.21,5.28,3.88
DEBILITATING,3.0,4.41,3.0
DEBRIEF,4.59,3.61,5.58
DEBRIEFING,5.05,3.48,5.41
DEBRIS,4.2,4.23,4.68
DEBT,1.95,5.93,3.71
DEBUT,5.81,3.41,5.52
DEBUTANTE,5.0,4.23,5.81
DECADE,4.75,3.61,4.79
DECADENCE,5.21,4.32,6.12
DECADENT,6.09,4.05,5.45
DECAF,3.62,3.0,5.41
DECATHLON,4.67,4.5,5.71
DECAY,2.4,4.59,2.84
DECAYING,2.81,4.68,3.14
DECEASED,2.73,4.86,2.64
DECEDENT,5.3,3.15,4.81
DECEIT,2.89,5.62,4.24
DECEITFUL,2.6,5.18,4.11
DECEIVE,2.95,5.9,4.58
DECENCY,5.55,3.36,6.21
DECENT,6.27,4.15,6.74
DECEPTION,2.36,5.79,3.81
DECEPTIVE,3.73,4.95,3.86
DECIDE,6.28,3.1,6.28
DECIMAL,4.68,3.35,5.52
DECIMETER,4.82,2.5,4.76
DECIPHER,5.09,4.39,5.68
DECISION,5.5,3.43,6.89
DECISIVE,6.78,3.95,5.76
DECK,5.68,3.25,5.38
DECLARATION,5.67,4.24,5.24
DECLARE,5.42,4.4,6.13
DECLINE,3.19,3.6,3.71
DECO,5.29,3.74,4.9
DECODE,5.5,4.59,6.58
DECODER,6.21,3.43,5.57
DECOMPOSE,2.42,4.17,3.4
DECOMPOSITION,3.16,4.0,3.89
DECOMPRESS,4.43,3.52,4.79
DECOMPRESSION,3.75,2.91,4.78
DECONTAMINATION,4.33,4.96,5.0
DECOR,5.95,3.38,7.32
DECORATE,6.26,4.33,6.95
DECORATION,6.71,4.05,6.4
DECORATIVE,7.52,4.76,6.45
DECORATOR,6.43,3.15,5.64
DECORUM,5.5,2.91,5.73
DECOY,4.61,3.91,4.95
DECREASE,4.16,3.05,3.68
DECREE,5.33,3.9,4.53
DECREPIT,3.05,4.83,3.46
DECRYPTION,4.81,4.12,4.95
DEDICATE,6.48,3.35,5.73
DEDICATION,7.38,4.36,7.18
DEDUCE,5.29,3.04,5.67
DEDUCT,4.24,4.11,4.86
DEDUCTIBLE,4.71,4.29,5.0
DEDUCTION,5.14,3.23,5.22
DEED,5.89,3.0,5.92
DEEJAY,5.91,3.95,5.68
DEEM,4.74,3.29,5.57
DEEP,5.44,3.9,4.94
DEER,6.89,3.95,4.89
DEFAMATION,2.9,5.62,2.56
DEFAULT,4.16,4.57,4.7
DEFEAT,3.74,4.14,3.87
DEFEATED,2.59,4.73,2.43
DEFEATIST,3.37,3.5,3.35
DEFECT,2.89,4.14,3.37
DEFECTIVE,3.52,4.17,3.67
DEFECTOR,4.35,3.75,4.52
DEFEND,6.3,4.55,6.64
DEFENDANT,4.05,4.14,3.95
DEFENDER,5.05,3.76,4.9
DEFENSE,5.36,5.11,5.53
DEFENSELESS,2.68,4.9,3.95
DEFENSIVE,4.65,4.28,4.08
DEFER,4.5,2.7,4.08
DEFIANCE,4.15,5.86,5.44
DEFIANT,4.12,5.9,6.02
DEFIBRILLATOR,3.45,5.0,5.05
DEFICIENCY,2.74,4.2,4.15
DEFICIENT,3.63,3.56,3.88
DEFICIT,2.95,4.19,4.18
DEFINE,5.57,3.95,5.31
DEFINITE,5.79,4.19,5.39
DEFINITION,5.63,3.14,5.68
DEFINITIVE,5.57,3.83,5.24
DEFLECT,5.1,3.68,5.37
DEFORMED,2.26,4.27,3.05
DEFORMITY,3.18,4.71,3.82
DEFROST,4.86,3.48,5.81
DEFT,4.67,3.0,5.32
DEFUSE,5.78,4.68,5.77
DEFY,4.84,5.43,5.3
DEGENERATE,2.7,4.68,2.95
DEGENERATION,3.48,4.18,3.67
DEGRADATION,2.85,4.26,3.39
DEGRADE,2.62,4.95,4.4
DEGREE,5.63,4.1,5.0
DEHYDRATION,3.38,4.68,3.32
DELAY,3.45,3.0,3.68
DELAYED,3.05,4.05,3.27
DELEGATE,5.15,3.72,6.32
DELEGATION,5.2,3.62,5.76
DELETE,4.0,3.71,5.39
DELI,5.42,4.3,4.79
DELIBERATE,4.8,3.48,6.12
DELIBERATION,5.19,3.95,4.8
DELICACY,7.0,5.0,5.52
DELICATE,6.38,3.09,5.04
DELICATESSEN,6.4,4.45,6.54
DELICIOUS,7.38,4.92,5.8
DELIGHT,8.21,5.02,7.29
DELIGHTED,7.74,5.0,6.22
DELIGHTFUL,7.38,6.16,6.76
DELINQUENCY,2.55,5.27,4.14
DELINQUENT,3.45,4.9,2.86
DELIRIOUS,4.32,5.81,4.61
DELIRIUM,3.4,4.94,3.27
DELIVER,6.0,4.75,6.74
DELIVERANCE,5.73,3.95,6.05
DELIVERY,6.0,4.04,5.37
DELTA,5.3,3.32,6.15
DELUDE,3.62,3.95,4.35
DELUGE,4.1,4.7,4.11
DELUSION,3.3,4.6,3.91
DELUSIONAL,3.29,5.8,3.81
DELUXE,6.76,4.96,6.59
DEMAND,4.1,5.85,5.14
DEMEANING,2.62,3.74,4.17
DEMEANOR,5.32,2.9,5.3
DEMENTED,3.11,4.86,4.36
DEMENTIA,2.85,5.05,1.68
DEMISE,3.0,4.18,3.17
DEMO,5.65,3.91,5.57
DEMOCRACY,6.16,5.05,5.58
DEMOCRAT,5.54,5.65,5.61
DEMOCRATIC,5.7,4.33,6.62
DEMOGRAPHIC,4.41,3.73,5.75
DEMOLISH,2.67,4.5,4.45
DEMOLITION,3.91,5.23,4.38
DEMON,3.0,5.34,3.4
DEMONIC,3.05,6.24,3.52
DEMONSTRATE,5.47,4.14,6.0
DEMONSTRATION,5.5,3.53,5.2
DEMURE,4.55,3.35,5.81
DEN,5.11,2.86,5.68
DENIABILITY,3.89,4.5,5.71
DENIAL,3.57,4.85,4.05
DENIM,6.0,3.67,5.76
DENOMINATOR,4.61,4.09,5.25
DENOUNCE,4.24,4.08,4.0
DENSE,4.68,3.59,5.08
DENSITY,5.15,3.55,4.55
DENT,3.52,3.46,4.95
DENTAL,4.73,4.79,3.62
DENTIST,3.84,4.37,4.7
DENY,3.81,5.63,4.29
DEODORANT,6.09,3.73,6.33
DEPART,4.05,3.9,4.36
DEPARTMENT,5.33,2.5,4.83
DEPARTMENTAL,4.67,4.12,4.71
DEPARTURE,4.05,3.65,5.09
DEPEND,5.0,4.45,6.21
DEPENDABLE,7.24,3.5,6.3
DEPENDENCE,3.6,3.55,4.0
DEPENDENCY,3.71,4.26,3.71
DEPENDENT,4.5,3.73,4.37
DEPICT,4.74,3.88,5.71
DEPLORABLE,3.9,4.73,4.0
DEPLOY,4.25,4.96,4.9
DEPLOYMENT,3.32,5.95,3.71
DEPORT,3.14,3.84,3.73
DEPORTATION,3.57,4.42,4.04
DEPOSE,4.2,4.3,5.0
DEPOSIT,6.25,4.5,6.37
DEPOSITION,3.53,4.18,4.12
DEPOSITORY,4.76,4.05,5.58
DEPOT,5.18,3.19,5.45
DEPRAVITY,3.05,4.36,3.89
DEPRESS,2.47,3.14,3.67
DEPRESSED,2.27,4.25,3.91
DEPRESSING,2.48,3.0,3.57
DEPRESSION,2.44,5.2,3.33
DEPRESSIVE,2.64,3.48,3.64
DEPRIVATION,2.58,4.57,3.38
DEPRIVE,3.37,3.72,4.24
DEPTH,5.8,4.35,5.24
DEPUTY,5.3,4.05,5.52
DERAIL,3.86,4.85,4.22
DERELICT,3.78,4.4,4.22
DERIVATIVE,4.7,3.72,4.59
DERIVE,4.72,2.9,5.95
DERMATOLOGIST,6.0,3.61,4.53
DEROGATORY,2.7,3.95,3.68
DESCEND,4.67,3.17,5.4
DESCENDANT,5.26,4.24,5.48
DESCENT,5.3,3.9,4.32
DESCRIBE,5.9,2.95,5.55
DESCRIPTION,5.24,3.64,5.54
DESCRIPTIVE,5.74,3.45,6.48
DESECRATE,3.05,4.12,4.1
DESECRATION,2.94,5.1,3.84
DESERT,5.36,3.5,5.58
DESERTER,3.27,4.97,4.31
DESERTION,4.0,3.67,4.05
DESERVE,6.77,4.5,6.32
DESERVING,6.7,4.35,7.17
DESIGN,6.8,3.95,5.8
DESIGNATE,5.62,4.6,5.61
DESIGNATED,5.1,3.85,5.14
DESIGNER,5.57,5.0,5.44
DESIRABLE,6.95,6.25,6.15
DESIRE,7.05,6.2,6.07
DESIST,4.27,3.84,4.43
DESK,5.56,2.45,5.72
DESOLATE,2.95,3.22,2.94
DESOLATION,2.91,4.04,4.25
DESPAIR,3.61,4.64,4.05
DESPAIRING,3.0,4.91,3.64
DESPERADO,4.4,3.41,4.14
DESPERATE,3.19,5.0,3.21
DESPERATION,2.55,6.3,4.0
DESPICABLE,2.76,4.86,3.24
DESPISE,3.08,4.77,4.38
DESPONDENT,3.81,4.64,3.46
DESSERT,7.2,5.5,5.73
DESTINATION,6.4,4.57,6.52
DESTINY,6.73,4.76,5.45
DESTITUTE,2.11,4.2,4.3
DESTROY,2.67,5.16,4.3
DESTROYER,2.16,6.09,3.67
DESTRUCT,3.5,6.09,4.42
DESTRUCTION,2.53,5.62,3.78
DESTRUCTIVE,3.11,6.38,4.85
DETACH,4.5,3.19,5.5
DETACHED,3.65,3.6,4.95
DETACHMENT,4.3,3.32,5.93
DETAIL,5.67,3.81,7.14
DETAILED,6.1,4.35,5.47
DETAIN,3.0,4.25,4.86
DETECT,5.09,4.57,6.32
DETECTION,4.63,3.95,5.11
DETECTIVE,5.06,4.55,4.39
DETECTOR,4.42,4.52,5.59
DETENTION,3.28,4.57,4.2
DETER,4.05,3.86,5.13
DETERGENT,5.42,3.25,5.6
DETERIORATE,3.64,4.86,3.85
DETERIORATING,2.63,5.52,4.18
DETERIORATION,2.89,5.0,2.73
DETERMINATION,7.58,5.52,7.06
DETERMINE,6.0,4.68,7.09
DETERRENT,4.58,4.23,4.89
DETEST,3.05,5.09,4.65
DETONATE,3.26,6.1,3.33
DETONATION,3.4,4.83,5.0
DETONATOR,4.3,5.39,5.29
DETOUR,3.86,4.58,4.05
DETRIMENT,3.67,4.4,4.47
DEUCE,4.53,3.5,4.96
DEUTSCHMARK,4.42,3.23,4.25
DEVASTATING,2.09,5.5,3.96
DEVASTATION,2.91,5.48,3.09
DEVELOP,6.05,4.5,6.71
DEVELOPER,5.89,3.75,5.29
DEVELOPMENT,5.25,4.23,6.68
DEVIANT,3.35,5.62,4.38
DEVIATE,5.1,4.27,5.19
